Relation,MRR,h@1,h@3,h@10
8,0.10006542675924854,0.049238703339882124,0.10044204322200392,0.19658644400785855
1,0.08294166313078515,0.04389928986442866,0.07940606843124597,0.15590703679793416
7,0.23518256697031945,0.14928698752228164,0.2427584670231729,0.3696524064171123
3,0.04946914820118238,0.018111254851228976,0.03945666235446313,0.10478654592496765
9,0.514532494339792,0.31676413255360625,0.48330896686159847,0.6379142300194932
10,0.4170267250995085,0.3075197607348857,0.4624011963255715,0.6245460371715446
14,0.4196227545848836,0.29774948178856975,0.4745336097127628,0.66923304708321
0,0.16806238564472042,0.09330458737573362,0.18421367828482452,0.3161456461851719
5,0.08349590701742145,0.0346012832263978,0.07985792850595784,0.1747250229147571
19,0.05419129289511104,0.023762376237623763,0.0504950495049505,0.09603960396039604
4,0.059617606160080924,0.02103120759837178,0.05257801899592944,0.13161465400271372
13,0.44179797604300697,0.32921000843407366,0.5030924936744448,0.6594039921281979
11,0.06262894174557349,0.023780854906682723,0.057796508127633955,0.1288380493678507
12,0.1814600404423744,0.11586863106200122,0.19812768569674646,0.31445672191528545
2,0.07043855375682209,0.03353658536585366,0.0625,0.1402439024390244
6,0.29558665213365864,0.2015021459227468,0.32660944206008585,0.4678111587982833
21,0.12385494252220536,0.06794425087108014,0.14111498257839722,0.21777003484320556
16,0.12408197821719731,0.0775480059084195,0.12333825701624815,0.20753323485967504
23,0.20956543329853378,0.14893617021276595,0.22872340425531915,0.3404255319148936
17,0.05599818292384329,0.026729559748427674,0.04874213836477988,0.10220125786163523
18,0.07090772602056078,0.036616161616161616,0.056818181818181816,0.12626262626262627
22,0.09921444554965227,0.060240963855421686,0.10240963855421686,0.1746987951807229
15,0.052716137724435445,0.020930232558139535,0.04883720930232558,0.10465116279069768
25,0.10530266186309738,0.05,0.1125,0.2125
26,0.5245215311004785,0.5,0.5,0.5
20,0.06573370733387651,0.04230769230769231,0.05384615384615385,0.10384615384615385
24,0.025602997006886567,0.0,0.02830188679245283,0.07547169811320754
